sales,labor_avg,personnel_exp,profit_loss_year,tang_assets,intang_assets,liq_assets,curr_assets,curr_liab,share_eq,subscribed_cap,age,foreign,profit_margin,current_ratio,asset_turnover,debt_to_equity,personnel_per_employee,log_sales,log_labor_avg,log_personnel_exp,log_tang_assets,log_curr_assets,size_category,ind,fast_growth,region_m_East,region_m_West
1136514.875,0.4583333134651184,41037.03515625,9722.22265625,23459.259765625,0.0,15077.77734375,203885.1875,120444.453125,93144.4453125,11111.111328125,6.0,0.0,0.00855441743008423,1.692773574955779,48.44632295965887,1.2930932458817954,89535.35331307122,13.94347789050098,0.37729421751754916,10.622254602388846,10.063063194849702,12.225317212728013,1,2.0,0,True,False
433666.65625,1.621212124824524,92614.8125,96751.8515625,932037.0625,1537.0369873046875,131766.671875,160166.671875,18911.111328125,1071011.125,17481.482421875,20.0,0.0,0.2231018921286965,8.469447886798529,0.4645230158893212,0.01765725013185554,57126.893564298014,12.980033750722468,0.9636368538494955,11.436215167395305,13.74512893242609,11.983976494719249,1,3.0,0,False,True
129729.6328125,0.7152777910232544,55711.109375,-2351.851806640625,118229.6328125,0.0,18585.185546875,199903.703125,8274.07421875,309885.1875,11111.111328125,11.0,0.0,-0.01812887121972964,24.160250179046656,1.097268338964038,0.0267004508524629,77887.37477127789,11.773215524472686,0.5395750447740358,10.927952805787557,11.680392511228016,12.205596047600421,1,3.0,0,False,False
6722.22216796875,0.1527777761220932,3407.407470703125,-1107.4073486328125,52037.03515625,118.51851654052734,1314.8148193359375,1811.111083984375,592.5925903320312,10781.4814453125,11111.111328125,8.0,0.0,-0.164738284597255,3.056249965882301,0.1288879456661913,0.05496392989570786,22303.030959032134,8.813322807880008,0.14217448734428612,8.134000443801863,10.859730175500314,7.502247789351011,1,3.0,0,False,False
26096.296875,0.0833333358168602,8070.37060546875,-1311.111083984375,5133.33349609375,0.0,3133.333251953125,6166.66650390625,6792.5927734375,3718.5185546875,3703.70361328125,11.0,0.0,-0.05024126948986416,0.9078516421624832,5.083694035242047,1.8266932579574937,96844.44437943565,10.169587019939586,0.08004270996602277,8.996078586430091,8.543705317656746,8.727075845024304,1,3.0,0,False,False
5389781.5,7.861111164093018,1924614.875,110022.21875,1434974.125,0.0,3659.25927734375,2406474.0,1225500.0,2482377.75,22962.962890625,14.0,1.0,0.02041311298983085,1.9636670746634026,3.756013022186027,0.4936799002488642,244827.332272187,15.500015589566358,2.181672170307884,14.470236960337633,14.176658072530842,14.693673579140277,1,1.0,1,False,False
33796.296875,0.2416666746139526,21737.037109375,1003.7036743164062,466.6666564941406,0.0,13762.962890625,16314.814453125,1374.0740966796875,15174.07421875,1851.851806640625,4.0,0.0,0.029698628758906186,11.873314905322875,72.42063773935891,0.09055406457560349,89946.35749467135,10.428136104160584,0.21645456956391187,9.986818867241695,6.147755769682692,9.6998901282917,1,2.0,0,False,False
133651.859375,0.4305555522441864,30929.62890625,2485.185302734375,5222.22216796875,0.0,17929.62890625,115288.890625,53907.40625,3674.073974609375,1851.851806640625,1.0,0.0,0.018594468601902867,2.1386465913484756,25.59290950790506,14.672379114449212,71836.55801216677,11.803001115838768,0.358062866898837,10.33950219868449,8.560869763998957,11.655205023531954,1,3.0,0,False,False
317648.15625,0.25,26237.037109375,73688.890625,38229.62890625,1911.111083984375,23803.703125,75300.0,20292.591796875,95148.1484375,9259.2587890625,4.0,0.0,0.23198274309202763,3.7107137793801175,7.913360748388767,0.21327363832208046,104948.1484375,12.668702770465746,0.22314355131420976,10.174965434977006,10.551392277150232,11.229248693912288,1,2.0,0,True,False
71681.484375,0.2272727340459823,19625.92578125,1159.25927734375,75862.9609375,0.0,12581.4814453125,15540.7412109375,14133.3330078125,58122.22265625,57407.40625,23.0,0.0,0.016172367068727433,1.0995807713825907,0.9448811842982912,0.24316573527135604,86354.07086394816,11.180001706297636,0.20479441816496174,9.884657666817168,11.236697027661764,9.651284664680713,1,3.0,0,False,True
149770.375,0.9583333730697632,53366.66796875,-16155.5556640625,3062.962890625,0.0,32644.4453125,36344.4453125,46100.0,-6488.888671875,11111.111328125,10.0,0.0,-0.10786883363323688,0.788382761659436,48.897221529654,-7.104452292395264,55686.95557142525,11.916865243688106,0.6720937916530557,10.884960372828063,8.02746441937232,10.500824174216767,1,3.0,0,False,False
60300.0,0.1597222238779068,10292.5927734375,118.51851654052734,2122.22216796875,0.0,248.1481475830078,4429.62939453125,6981.4814453125,-429.629638671875,1851.851806640625,3.0,0.0,0.00196548120299382,0.6344827282331872,28.4136132918238,-16.249999573806246,64440.58017439863,11.007103966325696,0.14818051426841064,9.239276919826303,7.660690104352729,8.396296928462366,1,3.0,0,True,False
49333.33203125,0.1319444477558136,15892.5927734375,551.8518676757812,13570.3701171875,0.0,1711.111083984375,14425.92578125,17011.111328125,3577.77783203125,1851.851806640625,2.0,0.0,0.01118618680218504,0.8480295909532476,3.6353711509140827,4.754658373649518,120449.12115475701,10.806375507749927,0.12393690415614304,9.673671336769948,9.515717714363484,9.576851585498492,1,3.0,0,False,False
55540.7421875,0.25,20959.259765625,-2477.77783203125,1444.4444580078125,0.0,62.96296310424805,2081.4814453125,4159.25927734375,-633.3333129882812,1851.851806640625,1.0,0.0,-0.04461189632047983,0.5004452251031121,38.451282691826144,-6.567251701507623,83837.0390625,10.924890128526904,0.22314355131420976,9.95038353175632,7.276172136648867,7.64131546418738,1,3.0,1,True,False
